Topic,URL,Start Time
Security 101 I,https://zoom.us/rec/share/f5uZp0xUCbMkrCbTiDvHi6gQOFSQmEW4RFftQIyExAknlOMSJLRoMjzW4jmF8zxx.0ZotoaI4EInW_SEW,"Sep 25, 2023 20:40:56"
Security 101 II,https://zoom.us/rec/share/DykD9QUSW49yIAAxFfbfIyNU8V0NF_TeCwvsNRxnQRN25RRBXbK9swS0Q3xJIBo2.XJQhkhGBX4W2PqKB,"Sep 27, 2023 20:16:20"
Security 101 III,https://zoom.us/rec/share/MkYkE4WGVwuraQoCHlRRXY1ERd_fjpLH84HyhfD3XzeyXpo9pekUkVXiiGdlJFFh.8kieKCbgE4ODbDGC,"Sep 28, 2023 20:45:33"
"Governance, Risk, and Compliance I",https://zoom.us/rec/share/hvrpu1SRhTKnk22uWLUrtGCUkT3Tmi04Xn7KtS8TrL7yJQYgeoAw1Ot7YNwAMM7m.RGiLHw4vGmxzx_G2,"Oct 02, 2023 20:44:56"
"Governance, Risk, and Compliance II",https://zoom.us/rec/share/OhF4uZ2G8J8aVHdgzsgFEp7xlF-oYji4skvqaGc9qgUQ3VCFVkoAZfxMXBq75gU8.d8RV0uIr3y1D3Kri,"Oct 04, 2023 20:45:58"
"Governance, Risk, and Compliance III",https://zoom.us/rec/share/ZMcehzZFkjSQD8xLqCS-WlZPIHKayBoQQ_m2XtCPMA9TubzHmTv618dCrtnQUoge.CdgqUBNObjPMOSqL,"Oct 05, 2023 20:47:52"
Introduction to Terminal and Bash I,https://zoom.us/rec/share/EpYKvStWfd9NLrgyRNIqdIdYrX6-1-Mlheq8Z3-hQUlkf2vIhlCYVvYrRLoiRine.lqrJJDScil9wK7ST,"Oct 11, 2023 20:43:48"
Introduction to Terminal and Bash II,https://zoom.us/rec/share/eew6TinOHw4P9kILsAFPcXOmzhJLKsVT5Xl_qL5LjuqWRP4k-pNtvemJft-jTt5p.XiqcwJq6Dg7gpRfi,"Oct 12, 2023 20:44:05"
Introduction to Terminal and Bash III,https://zoom.us/rec/share/CksUL2-i-_qSyylby3XUscJ33iCH5KWlaFlC0YaFzW9w3Hp8hU8pTv-w5eT8RcLS.DnKfPfpyULF5mfQm,"Oct 16, 2023 20:46:48"
Linux Administration and Hardening I,https://zoom.us/rec/share/S84Vka9zZwnWRvu6XP0somGTePBbE47mEtHamOCpXEFBNiTt1EoyJKDPtlaS4yzc.JYIRbT7kApR4buoa,"Oct 18, 2023 20:45:34"
Linux Administration and Hardening II,https://zoom.us/rec/share/aLt2MKwKYyUhua1vTOqrZ8bAq3kRnOLMJiT6ta2E-bFPEeHqA8sq9wI-DTLvfZlH.Gf2LS0hoHu9mrxwy,"Oct 19, 2023 20:45:00"
Linux Administration and Hardening III,https://zoom.us/rec/share/CueK4n6cabMvShv9_IZRg-5hO7hlnQUlUfLtQGP5cDQjw53Vj6RvMDb5AzoX5ma5.4R66KTlfyQEDDBcM,"Oct 23, 2023 20:45:23"
Linux Archiving and Logging Data I,https://zoom.us/rec/share/KTiXrA2Rfk1NgIyl-SV8cM_LBVvzFiNfvrFF-0Hy4DwL6y0XEzAcLo24CYQFw4d7.p1NN3Q0AR1-rScAX,"Oct 25, 2023 20:44:29"
